month_day_index,avg_l1_hist_minus_l1_taf
10-1,0.004602455
10-2,0.00551913
10-3,0.018263858
10-4,0.022453574
10-5,0.028448355
10-6,0.021519443
10-7,0.020588953
10-8,0.016970386
10-9,0.031056001
10-10,0.021617201
10-11,0.027132165
10-12,0.022884948
10-13,0.020182674
10-14,0.018666228
10-15,0.028811125
10-16,0.021392895
10-17,0.027874987
10-18,0.027080041
10-19,0.023876538
10-20,0.024622712
10-21,0.026627232
10-22,0.024663043
10-23,0.027486211
10-24,0.024739516
10-25,0.030514299
10-26,0.026983782
10-27,0.026985256
10-28,0.020886881
10-29,0.022928275
10-30,0.02425702
10-31,0.014827339
11-1,0.025958407
11-2,0.02758759
11-3,0.024089058
11-4,0.019719022
11-5,0.018492756
11-6,0.014476201
11-7,0.018134764
11-8,0.0240944
11-9,0.024920354
11-10,0.017741382
11-11,0.017809138
11-12,0.013181033
11-13,0.011202676
11-14,0.013576765
11-15,0.014288896
11-16,0.01406321
11-17,0.011380041
11-18,0.016122499
11-19,0.013099071
11-20,0.01320442
11-21,0.012406215
11-22,0.012432278
11-23,0.011779989
11-24,0.009491864
11-25,0.00711461
11-26,0.010830062
11-27,0.013153111
11-28,0.012624293
11-29,0.00832455
11-30,0.008421354
12-1,0.020999692
12-2,0.023049963
12-3,0.02330574
12-4,0.014989272
12-5,0.011688067
12-6,0.008176317
12-7,0.013606231
12-8,0.013229095
12-9,0.012360406
12-10,0.010566998
12-11,0.013450906
12-12,0.014636952
12-13,0.013467771
12-14,0.01525037
12-15,0.015253974
12-16,0.015066739
12-17,0.016833415
12-18,0.013353166
12-19,0.011441053
12-20,0.008742227
12-21,0.009076637
12-22,0.013285684
12-23,0.018946087
12-24,0.021245791
12-25,0.020861121
12-26,0.019411348
12-27,0.017377159
12-28,0.015944614
12-29,0.01556885
12-30,0.014271242
12-31,0.015545979
1-1,0.01653583
1-2,0.023565947
1-3,0.027247583
1-4,0.028575515
1-5,0.034501639
1-6,0.038627314
1-7,0.038146768
1-8,0.036552793
1-9,0.036675798
1-10,0.036077801
1-11,0.038493635
1-12,0.044224698
1-13,0.048470565
1-14,0.051917406
1-15,0.053592594
1-16,0.048063899
1-17,0.048252641
1-18,0.050408609
1-19,0.05345798
1-20,0.059404247
1-21,0.06245142
1-22,0.060278117
1-23,0.059465965
1-24,0.060445016
1-25,0.053005989
1-26,0.047757669
1-27,0.048194709
1-28,0.045525277
1-29,0.044472298
1-30,0.042595181
1-31,0.046279069
2-1,0.05787742
2-2,0.05669995
2-3,0.057319998
2-4,0.059530888
2-5,0.059372532
2-6,0.058446905
2-7,0.059149521
2-8,0.062436787
2-9,0.061706534
2-10,0.065830845
2-11,0.066485447
2-12,0.067996357
2-13,0.062397691
2-14,0.065317571
2-15,0.064732661
2-16,0.062683495
2-17,0.06326731
2-18,0.071357267
2-19,0.073906292
2-20,0.075296822
2-21,0.073536964
2-22,0.067989222
2-23,0.072844565
2-24,0.065959935
2-25,0.063592111
2-26,0.082394426
2-27,0.078588906
2-28,0.074915649
3-1,0.052884491
3-2,0.050091926
3-3,0.050764418
3-4,0.053383089
3-5,0.052034913
3-6,0.045487764
3-7,0.012864878
3-8,0.011693286
3-9,0.007018294
3-10,0.004911966
3-11,0.008745267
3-12,0.01004622
3-13,0.013367425
3-14,0.015479992
3-15,0.023669767
3-16,0.028653291
3-17,0.029955376
3-18,0.021984275
3-19,0.022047126
3-20,0.034223853
3-21,0.024136426
3-22,0.031383543
3-23,0.030505095
3-24,0.033738236
3-25,0.027573399
3-26,0.025537891
3-27,0.01756844
3-28,0.021569502
3-29,0.020391084
3-30,0.012455005
3-31,0.009119191
4-1,0.051317897
4-2,0.052007016
4-3,0.054169868
4-4,0.043805511
4-5,0.04368625
4-6,0.034749827
4-7,0.0225591
4-8,0.010290208
4-9,0.004726447
4-10,-0.001003254
4-11,0.002749187
4-12,-0.00780119
4-13,-0.007245812
4-14,0.008055553
4-15,0.004194491
4-16,0.005459503
4-17,-0.00983369
4-18,-0.005945434
4-19,-0.005563937
4-20,-0.002126205
4-21,-0.003133664
4-22,0.009302281
4-23,0.006669372
4-24,0.006949312
4-25,0.004734178
4-26,-0.009611641
4-27,-0.009471363
4-28,-0.004289797
4-29,0.001949283
4-30,-0.014935967
5-1,0.026544669
5-2,0.024469829
5-3,0.024356932
5-4,0.024011571
5-5,0.023296403
5-6,0.032107082
5-7,0.030374601
5-8,0.027000854
5-9,0.030188737
5-10,0.038527431
5-11,0.03835334
5-12,0.02545058
5-13,0.013704352
5-14,0.006931694
5-15,0.010923727
5-16,-0.016116904
5-17,-0.014514418
5-18,-0.002547153
5-19,-0.00877335
5-20,-0.008920661
5-21,-0.007651114
5-22,-0.010936326
5-23,-0.020585593
5-24,-0.011730569
5-25,0.013248758
5-26,0.014978152
5-27,0.023481908
5-28,0.014657766
5-29,0.009468393
5-30,-0.017261049
5-31,-0.013841796
6-1,0.004749586
6-2,0.000758021
6-3,-0.004416178
6-4,0.008240642
6-5,0.009215518
6-6,0.007870494
6-7,0.003442826
6-8,-0.007841616
6-9,-0.015382717
6-10,-0.013829416
6-11,-0.02978812
6-12,-0.029273435
6-13,-0.033525332
6-14,-0.046799699
6-15,-0.050838633
6-16,-0.047527933
6-17,-0.047572762
6-18,-0.038424871
6-19,-0.051570355
6-20,-0.058222251
6-21,-0.056981994
6-22,-0.055259107
6-23,-0.056796999
6-24,-0.046761068
6-25,-0.0486781
6-26,-0.055560489
6-27,-0.048010678
6-28,-0.025692512
6-29,-0.022184619
6-30,-0.031328136
7-1,-0.021072897
7-2,-0.011504561
7-3,-0.001468796
7-4,-0.002877621
7-5,0.014196372
7-6,0.003274261
7-7,0.009948958
7-8,0.019888216
7-9,0.019093217
7-10,0.025083856
7-11,0.023640672
7-12,0.022907433
7-13,0.027714724
7-14,0.035852381
7-15,0.034134394
7-16,0.032099468
7-17,0.034474208
7-18,0.038618328
7-19,0.040059269
7-20,0.040686656
7-21,0.045512339
7-22,0.039986427
7-23,0.03571689
7-24,0.043550781
7-25,0.045990243
7-26,0.042115494
7-27,0.042102885
7-28,0.034855176
7-29,0.03800595
7-30,0.047640271
7-31,0.040816417
8-1,0.04018299
8-2,0.042541823
8-3,0.046803304
8-4,0.053836344
8-5,0.059468326
8-6,0.059659602
8-7,0.06180681
8-8,0.059318397
8-9,0.058929635
8-10,0.057024471
8-11,0.04931118
8-12,0.05838335
8-13,0.059688546
8-14,0.063447681
8-15,0.057739212
8-16,0.053661725
8-17,0.053209591
8-18,0.041304259
8-19,0.045514822
8-20,0.050848605
8-21,0.04898833
8-22,0.05136235
8-23,0.044119115
8-24,0.052196622
8-25,0.047078949
8-26,0.044380061
8-27,0.039941875
8-28,0.040624236
8-29,0.037163019
8-30,0.044359009
8-31,0.036887051
9-1,0.035047015
9-2,0.027367858
9-3,0.029856266
9-4,0.031895636
9-5,0.03039
9-6,0.03368755
9-7,0.030678289
9-8,0.036978595
9-9,0.031740826
9-10,0.02852591
9-11,0.019377842
9-12,0.029475509
9-13,0.02448169
9-14,0.02320281
9-15,0.026428581
9-16,0.025536486
9-17,0.020868685
9-18,0.028052801
9-19,0.031399973
9-20,0.030516015
9-21,0.035262747
9-22,0.037300341
9-23,0.037554707
9-24,0.036626765
9-25,0.024900443
9-26,0.022279894
9-27,0.017472443
9-28,0.027181371
9-29,0.02437815
9-30,0.045443351
